CCTV관리번호,경도,위도,설치위치명,설치위치주소
CCTV068,36.7924985,127.1213454,068.예일병원 앞 사거리,천안시 서북구 쌍용동 446-7 예일병원 앞 사거리
CCTV069,36.8018377,127.1316641,069.로데오거리 앞 사거리,천안시 서북구 쌍용동 1160 로데오거리 앞 사거리
CCTV070,36.8774112,127.1539677,070.서북구청 앞 삼거리,천안시 서북구 직산읍 삼은리 432 서북구청 앞 삼거리
CCTV071,36.7747458,127.1336875,071.원형교차로 내,천안시 동남구 신방동 2126 원형교차로 내
CCTV072,36.78516,127.1682522,072.삼거리공원 정문 옆,천안시 동남구 삼룡동 269-28 삼거리공원 정문 옆
CCTV073,36.8383813,127.1752862,073.백석대 삼거리,천안시 동남구 안서동 356-6 백석대 삼거리
CCTV074,36.8972044,127.1349719,074.구 동방주유소 앞,천안시 서북구 성환읍 매주리 169-1 구 동방주유소 앞
CCTV075,36.8443734,127.1216405,075.이수교차로,천안시 서북구 백석동 1144 이수교차로
CCTV076,36.7986021,127.1437241,076.아이비웨딩 앞,천안시 동남구 다가동 406-1 아이비웨딩 앞
CCTV077,36.8635435,127.1176081,077.서북소방서 사거리,천안시 서북구 직산읍 신갈리 287 서북소방서 사거리
CCTV078,36.9138117,127.2304058,078.상장교차로,천안시 서북구 입장면 상장리 80 상장교차로
CCTV079,36.7690099,127.3340514,079.석교교차로,천안시 서북구 성거읍 석교리 53-4
CCTV080,36.7581066,127.2963749,080.병천사거리 회전교차로,천안시 동남구 병천면 병천리 236-9 병천사거리 회전교차로
CCTV081,36.9012449,127.2185297,081.시장교차로,천안시 서북구 입장면 시장리 301 시장교차로
CCTV082,36.8391956,127.1515044,082.두정지하차도 위 신호제어기 앞,천안시 서북구 부대동 201-21 두정지하차도 위 신호제어기 앞
CCTV083,36.9118997,127.1354856,083.복지관사거리,천안시 서북구 성환읍 성월리 산 51-2 복지관사거리
CCTV084,36.7519082,127.3040259,084.창들2교차로,천안시 동남구 병천면 탑원리 393 창들2교차로
CCTV085,36.9560053,127.1303838,085. 한미래아파트 앞 사거리,천안시 서북구 성환읍 복모리 2-2
CCTV086,36.78877466,127.1384179,086. 쉐르빌104동 옆 교차로,천안시 동남구 용곡동 206-5
CCTV087,36.7344688,127.1267221,087. 풍세교차로,천안시 동남구 풍세면 보성리 119-4
CCTV088,36.7689599,127.1430993,088. 엘지로 교차로 ,천안시 동남구 구룡동 479-6
